index,Zone_Name,Postal_Code,Address,Postalcode,Latitude,Longitude,Covered_Parking,Electric_charger,Rating,Reservation_Count,Reserved_hours,Spot_Count,Hourly_Rate,Daily_Rate,Evening_Rate,24-Jul,Commuter,Eveninng_and_Weekends,Distance_from_center,Scaling,Bus_Nearby
137,257 Toronto - Uncovered,93,257 Toronto,R3G1S3,49.888439,-97.164137,0,0,1.603575758,0,0,0,1,5,2,0,0,0,1.982553629,5,0
138,246 Lilac Street - Uncovered,128,"246 Lilac Street, Winnipeg, MB, Canada, Winnipeg",R3M2S2,49.869665,-97.1575,0,0,0,2,4,10,1,1,10,0,0,0,3.138043116,1,0
139,246 Lilac Street - Uncovered,128,"246 Lilac Street, Winnipeg, MB, Canada, Winnipeg",R3M2S2,49.869665,-97.1575,0,0,0,0,0,10,1,1,10,0,0,0,3.138043116,1,0
140,280 Garry St. - Scramble Parking,64,"280 Garry St, Winnipeg, MB, Canada, Winnipeg",R3C1H3,49.893412,-97.140858,0,0,4.5,1,7,3,4,12,8,0,0,0,0.252991208,3,1
141,800 Beverley Street - Uncovered,85,800 Beverley Street,R3E2A6,49.903113,-97.165015,0,0,1.603575758,0,0,0,1,5,2,0,0,0,2.102017927,5,0
142,535 Corydon Avenue - Uncovered,112,535 Corydon Avenue ,R3L0N9,49.874273,-97.145599,0,0,1.603575758,0,0,0,1,5,2,0,0,0,2.369309237,5,0
143,176 Smith St. - 24/7,57,"176 Smith Street, Winnipeg, MB, Canada, Winnipeg",R3C,49.890054,-97.140332,0,0,0,0,0,2,6,18,18,0,0,0,0.574555577,3,1
144,439 Berry Street - Uncovered,98,439 Berry Street,R3J1N7,49.890123,-97.209824,0,0,1.603575758,0,0,0,1,5,2,0,0,0,5.142341972,5,0
145,271 Furby Street - Uncovered,80,271 Furby Street,R3C2A8,49.887352,-97.157482,0,0,1.603575758,0,0,0,1,1,1,70,50,35,1.611354836,1,0
146,115 Bannatyne Ave. - Uncovered,46,"115 Bannatyne Avenue, Winnipeg, MB, Canada, Winnipeg",R3B0R3,49.897359,-97.134664,0,0,4,19,65,5,1,6,3,1,1,99,0.371441368,6,0
147,179 Langside Street - Uncovered,78,"179 Langside Street, Winnipeg, MB, Canada, Winnipeg",R3C1Z6,49.88418,-97.156371,0,0,5,1,242,2,1,8,5,80,65,50,1.765289791,8,0
148,361 Langside Street - Uncovered,43,"361 Langside Street, Winnipeg, MB, Canada, Winnipeg",R3B,49.88976,-97.156284,0,0,3.25,117,458,8,1.5,7.5,6,138,120,80,1.407638344,5,0
149,30 Carlton Street - Uncovered,68,30 Carlton Street,R3C1N9,49.88536,-97.142153,0,0,1.603575758,0,0,0,1,5,2,0,0,0,1.112552072,5,1
150,462 Hargrave St. - Uncovered,40,"462 Hargrave Street, Winnipeg, MB, Canada, Winnipeg",R3A0X5,49.8979,-97.145547,0,0,5,74,1453,14,1,5,3,1,75,1,0.597393956,5,0
151,Standard Uncovered,107,"130 Scott Street, Winnipeg, MB, Canada, Winnipeg",R3L0K8,49.879354,-97.140755,0,1,0,1,713,4,2,20,10,199,129,99,1.756092618,10,0
152,24 Poulin Drive - Uncovered ,9,"24 Poulin Drive, Winnipeg, MB, Canada, Winnipeg",R2H0S9,49.881218,-97.128794,0,0,2.83,47,1671,5,1,5,2,100,70,35,1.689222758,5,0
153,207 Carlton St. - Secure Lot,57,"213 Carlton St, Winnipeg, MB, Canada, Winnipeg",R3C,49.890748,-97.144506,0,0,3.7,83,4747,31,3,15,15,1,160,100,0.647952836,5,1
154,590 University Crescent - Monthly,138,"Converge Community Church, University Crescent, Winnipeg, MB, Canada, Winnipeg",R3T2N8,49.802747,-97.135216,0,0,4.5,16,730,10,6.5,5,9,1,65,1,10.26924734,0.769230769,0
155,587 Broadway - Uncovered,61,587 Broadway ,R3C0W6,49.886474,-97.153719,0,0,1.603575758,0,0,0,1,5,2,0,0,0,1.453065333,5,1
156,482 Balmoral St. - Scramble Parking,52,"482 Balmoral Street, Winnipeg, MB, Canada, Winnipeg",R3B2P8,49.894701,-97.152447,0,0,1,8,29,10,1,5,4,120,100,70,1.00341702,5,0
157,1275/1295 Portage Ave - Uncovered,90,"1275 Portage Avenue, Winnipeg, MB, Canada, Winnipeg",R3G0T8,49.883307,-97.186569,0,0,0,1,1,2,1,5,2,25,20,15,3.687227142,5,0
158,1689 Pembina Hwy. - Uncovered,132,"1689 Pembina Hwy, Winnipeg, MB R3T 2G6, Canada, Winnipeg",R3T2G6,49.827383,-97.154757,0,1,4.5,14,171,7,1,5,2,0,0,0,7.617436483,5,0
159,2295 Pembina Hwy - Zone 1,133,"Markham Place, 2295 Pembina Hwy, Winnipeg, MB, Canada, Winnipeg",R3T2H4,49.807998,-97.156284,1,0,5,0,0,6,1,5,5,75,60,25,9.766789459,5,0
160,130 Osborne St. - Uncovered,115,"130 Osborne Street, Winnipeg, MB, Canada, Winnipeg",R3L1Y5,49.878166,-97.145185,0,1,3,12,96,5,1,5,3,1,1,70,1.941319829,5,0
161,172 Edmonton St. - Uncovered 24/7,72,"172 Edmonton Street, Winnipeg, MB, Canada, Winnipeg",R3C1R3,49.888872,-97.145848,0,0,0.5,14,84,4,3,14,12,230,200,130,0.869959599,4.666666667,1
162,807 Portage Avenue - Uncovered,89,807 Portage Avenue,R3G0N3,49.887671,-97.165646,0,0,1.603575758,0,0,0,1,1,2,1,1,30,2.115048556,1,0
163,800 Dovercourt - Uncovered,147,800 Dovercourt,R3Y0R3,49.82218,-97.194725,0,0,1.603575758,0,0,0,1,5,2,25,20,15,9.05409435,5,0
164,Green Zone - PARK AND PAY ,12,"400 Tache Avenue, Winnipeg, MB, Canada, Winnipeg",R2H2A6,49.884712,-97.123313,0,1,2.89,5231,16803,175,2,17.5,3,1,1,50,1.582527085,8.75,0
165,1697 Pembina Hwy - Uncovered,132,"1697 Pembina Highway, Winnipeg, MB, Canada, Winnipeg",R3T2G6,49.826999,-97.15446,0,0,0,0,0,5,1,5,2,0,0,0,7.656413441,5,0
166,297 Goulet St. - Scramble Parking,15,"297 Goulet Street, Winnipeg, MB, Canada, Winnipeg",R2H3C4,49.882883,-97.114163,0,0,0,6,123,13,1.5,7,4,90,75,60,2.205909568,4.666666667,0
167,460 Portage Avenue - Uncovered,59,"460 Portage Avenue, Winnipeg, MB, Canada, Winnipeg",R3C0E8,49.890463,-97.15135,0,1,5,41,238,2,2,8,10,0,0,0,1.056888329,4,1
168,207 Carlton St. - Event Prebooking,69,"207 Carlton Street, Winnipeg, MB, Canada, Winnipeg",R3C1P5,49.890452,-97.144332,0,0,0,0,0,18,1.5,18,17,0,0,0,0.664798404,12,1
169,172 Edmonton St. - Small Car Only,72,172 Edmonton St.,R3C1R3,49.889628,-97.145985,0,0,1.603575758,0,0,0,3,14,12,230,200,170,0.81141065,4.666666667,1
170,210 Pacific Ave - Evening/Weekend,45,"210 Pacific Avenue, Winnipeg, MB, Canada, Winnipeg",R3B0M4,49.901234,-97.137543,0,0,2,0,0,5,3,1,6,1,1,150,0.687709306,0.333333333,0
171,1699 Pembina Hwy - Uncovered,132,"1699 Pembina Highway, Winnipeg, MB, Canada, Winnipeg",R3T2G6,49.827303,-97.15344,0,0,0,3,25,9,1,5,2,0,0,0,7.612329935,5,0
172,210 Pacific Ave - Park Mobile Scramble,45,"210 Pacific Avenue, Winnipeg, MB, Canada, Winnipeg",R3B0M4,49.901234,-97.137543,0,0,2,5,32,3,3,12,6,0,0,0,0.687709306,4,0
173,296 Stradbrook Avenue - Uncovered,104,296 Stradbrook Avenue ,R3L0J6,49.880313,-97.138797,0,0,1.603575758,0,0,0,1,5,2,99,75,25,1.641869025,5,0
174,880 Alverstone Street - Standard Uncovered,87,"880 Alverstone Street, Winnipeg, MB, Canada, Winnipeg",R3E2H2,49.903545,-97.169708,0,0,0,0,0,4,1,5,2,65,50,40,2.42871528,5,0
175,308 Colony Street - Uncovered,74,"308 Colony Street, Winnipeg, MB, Canada, Winnipeg",R3C1W6,49.889481,-97.15118,0,0,2.25,2,18,1,2,8,10,110,90,50,1.103920627,4,1
176,633 Lodge Avenue - Uncovered,97,"633 Lodge Avenue, Winnipeg, MB, Canada, Winnipeg",R3J0S9,49.880321,-97.273347,0,0,4,75,312,5,1,6,3,0,0,0,9.802453912,6,0
177,1833 Pembina Highway - Guest,141,"1833 Pembina Highway, Winnipeg, MB, Canada, Winnipeg",R3T3X8,49.823337,-97.154146,1,1,0,0,0,3,1,5,2,50,35,25,8.056072647,5,0
178,304 Stradbrook Avenue - Uncovered,104,304 Stradbrook Avenue ,R3L0J6,49.879881,-97.138605,0,0,1.603575758,0,0,0,1,5,2,99,75,25,1.689754124,5,0
179,585 William Avenue - Uncovered,37,"585 William Avenue, Winnipeg, MB, Canada, Winnipeg",R3A0K1,49.903467,-97.152877,0,0,2.75,5,37,5,1,5,2,70,65,50,1.392106916,5,0
180,60 Edmonton Street - Uncovered,70,60 Edmonton Street ,R3C1P7,49.885881,-97.143652,0,0,1.603575758,0,0,0,1,5,2,0,0,0,1.088313369,5,1
181,287 Young Street - Uncovered,77,"287 Young Street, Winnipeg, MB, Canada, Winnipeg",R3C1Z1,49.888447,-97.155009,0,0,0,0,0,3,1,5,2,95,65,40,1.396576768,5,0
182,590 University Crescent - Monthly,138,"Converge Community Church, University Crescent, Winnipeg, MB, Canada, Winnipeg",R3T2N8,49.802747,-97.135216,0,0,4.5,16,730,10,1,5,9,1,65,1,10.26924734,5,0
183,516 Hargrave - Uncovered,41,"516 Hargrave Street, Winnipeg, MB, Canada, Winnipeg",R3A0X8,49.8997,-97.144081,0,0,0.5,1,4,4,1,1,4,0,0,0,0.653353664,1,0
184,516 Hargrave - Uncovered,41,"516 Hargrave Street, Winnipeg, MB, Canada, Winnipeg",R3A0X8,49.8997,-97.144081,0,0,0.5,0,0,1,1,1,4,0,0,0,0.653353664,1,0
185,424 Gertrude Avenue - Uncovered,110,"424 Gertrude Avenue, Winnipeg, MB, Canada, Winnipeg",R3L0M6,49.87621,-97.14233,0,0,5,48,107,8,2,8,6,105,80,40,2.116241862,4,0
186,925 Chancellor Drive - Standard Uncovered,134,925 Chancellor Drive ,R3T2J9,49.816749,-97.154491,0,0,1.603575758,0,0,0,1,5,2,0,0,0,8.785254602,5,0
187,1833 Pembina Highway - Uncovered,141,1833 Pembina Highway,R3T3X8,49.823975,-97.154209,0,0,1.603575758,0,0,0,1,5,2,50,35,25,7.986468099,5,0
